,Opening,Opening.1,Title,Genre,Director,Cast
0,JAN,6,Players,Action/Thriller,Abbas-Mustan,"Abhishek Bachchan, Sonam Kapoor, Bipasha Basu, Neil Nitin Mukesh, Bobby Deol, Omi Vaidya, Sikander Kher[3]"
1,JAN,13,Chaalis Chauraasi 4084,Comedy/Crime,Hriday Shetty,"Naseeruddin Shah, Atul Kulkarni, Kay Kay Menon, Ravi Kishan[4]"
2,JAN,13,Ghost,Adult/Horror,Puja Jatinder Bedi,"Shiney Ahuja, Sayali Bhagat, Deepraj Rana[5]"
3,JAN,13,Sadda Adda,Comedy,Muazzam Beg,"Karanvir Sharma, Shaurya Chauhan, Bhaumik Sampat, Kahkkashan Aryan, Rohin Robert, Rohit Arora[6]"
4,JAN,26,Agneepath,Action/Drama,Karan Malhotra,"Hrithik Roshan, Sanjay Dutt, Priyanka Chopra, Rishi Kapoor, Om Puri, Zarina Wahab[7]"
5,FEB,3,Gali Gali Chor Hai,Drama,Rumi Jaffrey,"Akshaye Khanna, Shriya Saran, Mugdha Godse, Satish Kaushik, Vijay Raaz[8]"
6,FEB,3,Staying Alive,Social,Anant Mahadevan,"Anant Mahadevan, Saurabh Shukla, Chandan Roy Sanyal[9]"
7,FEB,3,Love You To Death,Comedy,Rafeeg Ellias,"Yuki Ellias, Chandan Roy Sanyal, Sheeba Chaddha, Suhasini Mulay[10]"
8,FEB,10,Ek Main Aur Ekk Tu,Romance/Comedy,Shakun Batra,"Imran Khan, Kareena Kapoor, Boman Irani, Ram Kapoor, Ratna Pathak Shah[11]"
9,FEB,10,Valentine's Night,Adult/Romance/Thriller,Krishan Kumar,"Payal Rohatgi, Sangram Singh, Rahul Minz, Neha Thakur[12]"
10,FEB,17,Ekk Deewana Tha,Romance,Gautham Menon,"Prateik Babbar, Amy Jackson, Manu Rishi, Ramesh Sippy, Sachin Khedekar[13]"
11,FEB,17,?: A Question Mark,Adult/Horror,Allyson PatelYash Dave,"Maanvi Gagroo, Akhlaque Khan, Yaman Chatwal, Varun Thakur, Chirag Jain[14]"
12,FEB,17,Married 2 America,Drama,Dilip Shankar,"Jackie Shroff, Archana Joglekar, Anjali Malhotra, Shweta Tiwari, Raghuveer Yadav, Chetan Pandit, Ashok Samarth, Akhilendra Mishra"
13,FEB,24,Jodi Breakers,Romance,Ashwini Chaudhary,"Madhavan, Bipasha Basu, Omi Vaidya, Dipannita Sharma[15]"
14,FEB,24,Tere Naal Love Ho Gaya,Romance/Comedy,Mandeep Kumar,"Riteish Deshmukh, Genelia D'Souza, Om Puri[16]"
15,MAR,2,"London, Paris, New York",Romance,Anu Menon,"Ali Zafar, Aditi Rao Hydari[17]"
16,MAR,2,Paan Singh Tomar,Crime,Tigmanshu Dhulia,"Irrfan Khan, Mahie Gill[18]"
17,MAR,2,Will You Marry Me?,Romance,Aditya Dutt,"Shreyas Talpade, Mugdha Godse, Rajeev Khandelwal, Muzamil Ibrahim[19]"
18,MAR,9,Kahaani,Drama/Thriller,Sujoy Ghosh,"Vidya Balan, Parambrata Chatterjee[20]"
19,MAR,9,Chaar Din Ki Chandni,Comedy,Samir Karnik,"Tusshar Kapoor, Kulraj Randhawa, Anupam Kher[20]"
20,MAR,16,Say Yes to Love,Romance,Mahrukh Mirza Beg,"Asad Mirza, Nazia Hussain, Aditya Raj Kapoor[21]"
21,MAR,16,Akkad Bakkkad Bam Be Bo,Romance,Dweep Raj Kochhar,Dweep Raj Kochhar[22]
22,MAR,16,Zindagi Tere Naam,Romance,Ashu Trikha,"Mithun Chakraborthy, Ranjeeta Kaur, Ashish Sharma[22]"
23,MAR,30,Blood Money,Thriller,Vishal Mahadkar,"Kunal Khemu, Amrita Puri[23]"
24,MAR,30,Agent Vinod,Suspense/Thriller,Sriram Raghavan,"Saif Ali Khan, Kareena Kapoor[21]"
25,MAR,30,Bumboo,Comedy,Jagdish Rajpurohit,"Sharat Saxena, Sanjay Mishra[21]"
26,APR,5,Housefull 2,Action Comedy,Sajid Khan,"Akshay Kumar, Asin Thottumkal, Jacqueline Fernandez, John Abraham, Riteish Deshmukh, Zarine Khan, Shreyas Talpade, Shazahn Padamsee, Rishi Kapoor, Randhir Kapoor, Boman Irani, Mithun Chakraborty[24]"
27,APR,13,Bittoo Boss,Comedy,Supavitra Babul,"Pulkit Samrat, Amita Pathak[25]"
28,APR,13,Vicky Donor,Comedy,Shoojit Sircar,"Ayushmann Khurrana, Yami Gautam, Annu Kapoor[26]"
29,APR,13,Ab Hoga Dharna Unlimited,Drama,Deepak Tanwar,"Sourabh Malik, Rekha Rana, Omkar Das Manikpuri[27]"
