,Opening,Opening.1,Title,Genre,Director,Cast,Source
0,JAN,4.0,Table No. 21,Thriller/Drama,Aditya Datt,"Paresh Rawal, Rajeev Khandelwal, Tina Desai",[4]
1,JAN,4.0,Dehraadun Diary,Thriller,Milind Ukey,"Adhyayan Suman, Rohit Bakshi, Ragini Nandwani, Ashwini Kalsekar, Rati Agnihotri",[5]
2,JAN,4.0,Meri Shadi Karao,Comedy,Syed Noor,Gurdeep Singh Mehndi,[6]
3,JAN,11.0,Matru Ki Bijlee Ka Mandola,Comedy,Vishal Bhardwaj,"Imran Khan, Anushka Sharma, Pankaj Kapur",[7]
4,JAN,11.0,Pyaar Mein Aisa Hota Hai,Thriller,Rajesh Kumar,"Mohd Nazim, Aanamika Bawa, Rohit Rajawat, Aayushi Sharma",[8]
5,JAN,11.0,Gangoobai,Drama,Priya Krishnaswamy,"Sarita Joshi, Purab Kohli, Mita Vasisht",[9]
6,JAN,18.0,Inkaar,Romance/Crime,Sudhir Mishra,"Arjun Rampal, Chitrangada Singh, Deepti Naval, Kanwaljit Singh",[10]
7,JAN,18.0,Mumbai Mirror,Action,Ankush Bhatt,"Sachiin Joshi, Gihana Khan, Prakash Raj",[11]
8,JAN,18.0,Bandook,Crime,Aditya Om,"Aditya Om, Manisha Kelkar, Arshad Khan",[12]
9,JAN,25.0,Race 2,Action/Thriller,Abbas-Mustan,"Saif Ali Khan, Deepika Padukone, John Abraham, Jacqueline Fernandez, Anil Kapoor, Ameesha Patel",[13]
10,JAN,25.0,Akaash Vani,Romance,Luv Ranjan,"Kartik Tiwari, Nushrat Bharucha",[14]
11,JAN,25.0,Main Krishna Hoon,Animation/Musical,Rajiv S. Ruia,"Hrithik Roshan, Juhi Chawla, Rajneesh Duggal, Misti Mukherjee, Katrina Kaif",[15]
12,FEB,1.0,David,Crime,Bejoy Nambiar,"Vikram, Lara Dutta, Vinay Virmani, Neil Nitin Mukesh, Tabu",[16]
13,FEB,1.0,Vishwaroopam,Action,Kamal Haasan,"Kamal Haasan, Pooja Kumar, Shekhar Kapur, Andrea Jeremiah, Rahul Bose",[17]
14,FEB,1.0,Mai...,Drama/Family,Mahesh Kodiyal,"Asha Bhosle, Ram Kapoor, Padmini Kolhapure",[18]
15,FEB,1.0,Listen... Amaya,Drama,Avinash Kumar Singh,"Farooq Sheikh, Deepti Naval, Swara Bhaskar",[19]
16,FEB,8.0,Special 26,Drama/Heist,Neeraj Pandey,"Akshay Kumar, Kajal Aggarwal, Manoj Bajpayee, Anupam Kher, Jimmy Sheirgill[20]",
17,FEB,8.0,ABCD: Any Body Can Dance,Drama/Dance,Remo D'Souza,"Prabhu Deva, Ganesh Acharya, Kay Kay Menon, Lauren Gottlieb, Punit Pathak, Dharmesh Yelande, Salman Yusuff Khan",
18,FEB,8.0,The Unsound,Thriller,Alok Shrivastava,"Shadaab Khan, Anurita Jha[21]",
19,FEB,15.0,Jayantabhai Ki Luv Story,Comedy/Romance,Vinnil Markan,"Vivek Oberoi, Neha Sharma[22]",
20,FEB,15.0,Murder 3,Thriller,Vishesh Bhatt,"Randeep Hooda, Aditi Rao Hydari, Mona Lizza",[23]
21,FEB,22.0,Kai Po Che!,Drama,Abhishek Kapoor,"Sushant Singh Rajput, Rajkumar Rao, Amit Sadh, Amrita Puri",[24]
22,FEB,22.0,Zila Ghaziabad,Action,Anand Kumar,"Arshad Warsi, Vivek Oberoi, Sanjay Dutt, Minissha Lamba, Ravi Kishan, Paresh Rawal",[25]
23,MAR,1.0,"I, Me Aur Main",Romance/Comedy,Kapil Sharma,"John Abraham, Prachi Desai, Chitrangda Singh",[26]
24,MAR,1.0,Bloody Isshq,Romance/Thriller,Arup Dutta,"Akash Singh, Shilpa Anand, Tripta Parashar",[27]
