,Opening,Opening.1,Title,Genre,Director,Cast,Source,Unnamed: 7
0,JAN,2,International Hero,Drama,Sanjay Niranjan,"Nakul Vaid, Jatin Grewal, Gurleen Choter",[11],
1,JAN,2,Mumbai Can Dance Saala,Thriller,Sachindra Sharma,"Ashima Sharma, Prashant Narayanan, Aditya Pancholi, Mukesh Tiwari",[12],
2,JAN,2,Take It Easy,Drama,Sunil Prem Vyas,"Vikram Gokhale, Dipannita Sharma, Raj Zutshi, Anang Desai, Joy Sengupta, Sulabha Arya, Vijay Kashyap",[13],
3,JAN,9,Tevar,"Action, Romance",Amit Sharma,"Arjun Kapoor, Sonakshi Sinha, Raj Babbar, Manoj Bajpai",[14][15],
4,JAN,16,Alone,Horror,Bhushan Patel,"Bipasha Basu, Karan Singh Grover",[16],
5,JAN,16,Crazy Cukkad Family,Comedy,Ritesh Menon,"Swanand Kirkire, Shilpa Shukla, Ninad Kamat, Kushal Punjabi, Kiran Karmarkar, Yusuf Hussain",[17][18],
6,JAN,16,Sharafat Gayi Tel Lene,"Comedy, Thriller",Gurmmeet Singh,"Zayed Khan, Tina Desai, Rannvijay Singh, Talia Benson, Anupam Kher",[19][20],
7,JAN,23,Baby,Thriller,Neeraj Pandey,"Akshay Kumar, Taapsee Pannu, Rana Daggubati, Anupam Kher, Kay Kay Menon, Danny Denzongpa",[21],
8,JAN,23,Dolly Ki Doli,"Romantic, Comedy",Abhishek Dogra,"Sonam Kapoor, Pulkit Samrat, Rajkummar Rao, Varun Sharma",[22][23],
9,JAN,30,Chal Guru Ho Ja Shuru,Comedy,Manoj Sharma,"Hemant Pandey, Chandrachur Singh, Sanjay Mishra, Manoj Pahwa",,
10,JAN,30,Hawaizaada,Drama,Vibhu Puri,"Ayushmann Khurrana, Pallavi Sharda",[24][25],
11,JAN,30,Khamoshiyan: Silences Have Secrets,Horror,Karan Dara,"Gurmeet Choudhary, Ali Fazal, Sapna Pabbi",[26][27],
12,JAN,30,Rahasya,Mystery,Manish Gupta,"Tisca Chopra, Ashish Vidyarthi, Kay Kay Menon",[28],
13,FEB,6,Jai Jawaan Jai Kisaan,Drama,Milan Ajmera,"Jatin Khurana, Om Puri, Prem Chopra, Rati Agnihotri, Rishi Bhutani, Sanjay Chakraborty, Akhilesh Jain",[29],
14,FEB,6,Shamitabh,Drama,R. Balki,"Amitabh Bachchan, Dhanush, Akshara Haasan",[23][30],
15,FEB,13,MSG: The Messenger,"Action, Drama","Gurmeet Ram Rahim Singh, Jeetu Arora","Gurmeet Ram Rahim Singh, Daniel Kaleb, Flora Saini, Jayshree Soni, Olexandra Semen, Gaurav Gera, Jay Singh Rajpoot, Himanshu Tiwari",[31],
16,FEB,13,Roy,"Romance, Thriller",Vikramjit Singh,"Ranbir Kapoor, Jacqueline Fernandez, Arjun Rampal",[32][33],
17,FEB,20,Badlapur,"Action, Thriller",Sriram Raghavan,"Varun Dhawan, Nawazuddin Siddiqui, Huma Qureshi, Yami Gautam, Vinay Pathak, Divya Dutta",[34][35],
18,FEB,20,Qissa,Historical Drama,Anup Singh,"Irrfan Khan, Tillotama Shome, Tisca Chopra, Faezeh Jalali, Rasika Duggal",[36],
19,FEB,27,Ab Tak Chhappan 2,"Crime, Drama",Aejaz Gulab,"Nana Patekar, Ashutosh Rana, Vikram Gokhale, Gul Panag",[37],
20,FEB,27,Dum Laga Ke Haisha,Comedy,Sharat Katariya,"Ayushmann Khurrana, Bhumi Pednekar",[38][39],
21,MAR,4,Badmashiyaan,Romantic comedy,Amit Khanna,"Suzzanna Mukherjee, Sidhant Gupta, Gunjan Malhotra, Sharib Hashmi, Karan Mehra",[40],
22,MAR,4,Coffee Bloom,"Romance, Drama",Manu Warrier,"Arjun Mathur, Sugandha Garg, Mohan Kapur",[41],
23,MAR,4,Dirty Politics,Political Drama,K. C. Bokadia,"Mallika Sherawat, Naseeruddin Shah, Jackie Shroff, Atul Kulkarni, Anupam Kher, Ashutosh Rana",[42][43],
24,MAR,4,Hey Bro,"Comedy, Action",Ajay Chandhok,"Ganesh Acharya, Nupur Sharma, Maninder Singh",[44],
25,MAR,13,NH10,Thriller,Navdeep Singh,"Anushka Sharma, Neil Bhoopalam, Darshan Kumar",[45],
26,MAR,20,Dilliwali Zaalim Girlfriend,Comedy,Japinder Kaur,"Divyendu Sharma, Jackie Shroff, Prachi Mishra, Ira Dubey",,
27,MAR,20,Hunterrr,Comedy,Harshavardhan Kulkarni,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar",[46],
28,MAR,27,Barkhaa,Romance,Shadaab Mirza,"Sara Loren, Taaha Shah, Shweta Pandit, Priyanshu Chatterjee",[47],
29,APR,3,Detective Byomkesh Bakshy!,Thriller,Dibakar Banerjee,"Sushant Singh Rajput, Anand Tiwari, Swastika Mukherjee, Divya Menon, Neeraj Kabi, Meiyang Chang",[48],
30,APR,3,Luckhnowi Ishq,Romance,Aanand Raut,"Adhyayan Suman, Karishma Kotak",[49],
31,APR,10,Dharam Sankat Mein,Drama,Fuwad Khan,"Naseeruddin Shah, Paresh Rawal, Annu Kapoor, Murali Sharma",[50],
32,APR,10,Ek Paheli Leela,Musical,Bobby Khan,"Sunny Leone, Jay Bhanushali, Mohit Ahlawat, Rajneesh Duggal, Rahul Dev, Jas Arora",[51],
33,APR,17,Court,Drama,Chaitanya Tamhane,"Vira Satidhar, Vivek Gombher, Geetanjali Kulkarni",[52],
34,APR,17,Margarita with a Straw,Drama,Shonali Bose,"Kalki Koechlin, Revathi, Hussain Dalal",,
35,APR,17,Mr. X,Sci fi/thriller,Vikram Bhatt,"Emraan Hashmi, Amyra Dastur",[53][54],
36,APR,17,NH-8 Road to Nidhivan,Horror,Munindra Gupta,"Auroshikha Dey, Ravneet Kaur, Satyakam Anand, Arjun Fauzdar, Swaroopa Ghosh",[55],
37,APR,17,Ek Adbhut Dakshina Guru Dakshina,Dance/drama,Kiran Phadnis,"Rajeev Govinda Pillai, Rajesh Shringarpure, Sulagna Panigrahi, Girish Karnad, Roopa Ganguly",[56],
38,APR,24,Ishq Ke Parindey,Romance,Shakir Khan,"Rishi Verma, Priyanka Mehta, Manjul Aazad, Yasir Iftikhar Khan",[57],
39,APR,24,Kaagaz Ke Fools,Comedy,Anil Kumar Chaudhary,"Vinay Pathak, Mugdha Godse, Raima Sen, Saurabh Shukla, Rajendra Sethi, Amit Behl",[58],
40,MAY,1,Gabbar Is Back,Crime/action,Krish,"Akshay Kumar, Shruti Haasan, Suman",[59][60][61][62],
41,MAY,1,Sabki Bajegi Band,Thriller/drama,Anirudh Chawla,"Sumeet Vyas, Swara Bhaskar, Alekh Sangal, Shaurya Chauhan, Amol Parashar",[63],
42,MAY,8,Kuch Kuch Locha Hai,Comedy,Devang Dholakia,"Ram Kapoor, Sunny Leone, Evelyn Sharma, Navdeep Chabbra",,
43,MAY,8,Piku,Comedy/drama,Shoojit Sircar,"Amitabh Bachchan, Deepika Padukone, Irrfan Khan, Moushumi Chatterjee, Jisshu Sengupta",[64][65],
44,MAY,15,Bombay Velvet,Crime/drama,Anurag Kashyap,"Ranbir Kapoor, Anushka Sharma, Karan Johar, Kay Kay Menon",[66],
45,MAY,22,Main Hoon Part-Time Killer,"Spoof, comedy, thriller",Faisal Saif,"Adithya Menon, Kavita Radheshyam",[54][67],
46,MAY,22,Tanu Weds Manu: Returns,Romance/comedy,Anand L. Rai,"R. Madhavan, Kangana Ranaut",[54][68],
47,MAY,27,Waiting,Drama,Anu Menon,"Naseeruddin Shah, Kalki Koechlin, Arjun Mathur, Rajat Kapoor, Suhasini Maniratnam",[69][70],
48,MAY,29,I Love Desi,Comedy,Pankaj Batra,"Vedant Bali, Priyanka Shah, Gulshan Grover",[54][71],
49,MAY,29,Ishqedarriyaan,Drama,V. K. Prakash,"Mahaakshay Chakraborty, Evelyn Sharma, Kavin Dave, Mohit Dutta",[72],
50,MAY,29,P Se PM Tak,Comedy,Kundan Shah,"Meenakshi Dixit, Rocky Verma, Bharat Jadhav, Yashpal Sharma",[54][73],
51,MAY,29,Welcome 2 Karachi,Comedy,Ashish R Mohan,"Arshad Warsi, Jackky Bhagnani, Lauren Gottlieb, Ayub Khoso, Adnan Shah, Imran Hasnee",[74][75],
52,JUN,5,Dil Dhadakne Do,Drama,Zoya Akhtar,"Ranveer Singh, Priyanka Chopra, Farhan Akhtar, Anushka Sharma, Anil Kapoor, Shefali Shah",[76][77],
53,JUN,5,Mere Genie Uncle,Drama,Ashish Bhavsar,"Tiku Talsania, Swati Kapoor, Shakti Kapoor, Ehsaan Qureshi",[78],
54,JUN,12,Hamari Adhuri Kahani,Romance/drama,Mohit Suri,"Emraan Hashmi, Vidya Balan, Rajkummar Rao",[54][79],
55,JUN,19,ABCD 2,Dance,Remo D'Souza,"Varun Dhawan, Shraddha Kapoor, Prabhu Deva, Lauren Gottlieb, Dharmesh Yelande, Punit Pathak, Raghav Juyal",[80],
56,JUN,26,Miss Tanakpur Haazir Ho,Comedy/drama,Vinod Kapri,"Annu Kapoor, Om Puri, Rahul Bagga, Hrishitaa Bhatt",[81],
57,JUN,26,Uvaa,Social/comedy,Jasbir Bhaati,"Om Puri, Jimmy Sheirgill, Sangram Singh, Archana Puran Singh",[82],
58,JUL,3,Bezubaan Ishq,Romance,Jashwant Gangani,"Nishant Malkani, Mugdha Godse, Sneha Ullal",[83],
59,JUL,3,Guddu Rangeela,Comedy,Subhash Kapoor,"Arshad Warsi, Aditi Rao Hydari, Amit Sadh",[84],
60,JUL,3,Second Hand Husband,Drama,Smeep Kang,"Gippy Grewal, Tina Ahuja, Dharmendra",[85],
