,Opening,Opening.1,Title,Genre,Director,Cast,Studio,Ref.
0,JAN,8,Wazir,Thriller,Bejoy Nambiar,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, John Abraham, Neil Nitin Mukesh",,[21][22]
1,JAN,15,Chalk n Duster,Drama,Jayant Gilatar,"Shabana Azmi, Juhi Chawla, Divya Dutta, Zarina Wahab, Jackie Shroff, Arya Babbar, Richa Chadha",,[23][24]
2,JAN,15,Rebellious Flower,Biopic,Krishan Hooda,"Prince Shah, Shashank Singh, Mantra Mugdha, Kirti Adarkar, Bachchan Pachera, Shaneel Sinha",,[25][26]
3,JAN,22,Airlift,War/Thriller,Raja Krishna Menon,"Akshay Kumar, Nimrat Kaur, Purab Kohli, Ferena Wazeir, Gunjan Malhotra",,[27][28]
4,JAN,22,Jugni,Musical drama,Shefali Bhushan,"Sugandha Garg, Siddhant Behl, Sadhana Singh, Anuritta K Jha, Samir Sharma",,[29][30]
5,JAN,22,Kyaa Kool Hain Hum 3,Adult comedy,Umesh Ghadge,"Tushar Kapoor, Aftab Shivdasani, Mandana Karimi, Meghna Naidu, Darshan Jariwala, Krushna Abhishek, Claudia Ciesla, Riteish Deshmukh, Gizele Thakral, VJ Andy, Danny Saru",,[27][31]
6,JAN,29,Saala Khadoos,Sports,Sudha Kongara Prasad,"R. Madhavan, Ritika Singh",,[32][33]
7,JAN,29,Mastizaade,Adult comedy,Milap Milan Zaveri,"Tushar Kapoor, Vir Das, Sunny Leone, Shaad Randhawa, Riteish Deshmukh, Gizele Thakral, Bruna Abdullah",,[27][34]
8,FEB,5,Sanam Teri Kasam,Romance,"Radhika Rao, Vinay Sapru","Mawra Hocane, Harshvardhan Rane, Anurag Sinha, Shraddha Das",,[35][36]
9,FEB,5,Ghayal: Once Again,Action/drama,Sunny Deol,"Sunny Deol, Soha Ali Khan, Aanchal Munjal, Daina Khan, Shivam Patil, Rishabh Arora, Abhilash Kumar",,[27][37]
10,FEB,12,Fitoor,Romance/drama,Abhishek Kapoor,"Aditya Roy Kapoor, Katrina Kaif, Tabu, Ajay Devgn, Aditi Rao Hydari, Akshay Oberoi, Lara Dutta, Rahul Bhatt",,[38][39]
11,FEB,12,Sanam Re,Romance,Divya Khosla Kumar,"Pulkit Samrat, Yami Gautam, Urvashi Rautela, Rishi Kapoor, Bharti Singh, Shreyas Pardiwalla",,[40][41]
12,FEB,19,Direct Ishq,Drama,Rajiv S. Ruia,"Rajneesh Duggal, Nidhi Subbaiah, Arjun Bijlani",,[42][43]
13,FEB,19,Ishq Forever,Drama,Sameer Sippy,"Krishna Chaturvedi, Ruhi Singh, Javed Jaffrey, Lisa Ray",,[42][44]
14,FEB,19,LoveShhuda,Romance,Vaibhav Mishra,"Girish Kumar, Navneet Kaur Dhillon, Benaf Dadachandji, Yash Pandit",,[45][46]
15,FEB,19,Neerja,Biopic/drama,Ram Madhvani,"Sonam Kapoor, Shabana Azmi, Shekhar Ravjiani",,[47][48]
16,FEB,26,Dhara 302,Actiom/drama,Jitender Singh Narukal,"Rufy Khan, Dipti Dhotre, Gulshan Pandey",,[49][50]
17,FEB,26,Aligarh,Biopic/drama,Hansal Mehta,"Manoj Bajpayee, Rajkummar Rao",,[51][52]
18,FEB,26,Bollywood Diaries,Drama,K.D. Satyam,"Raima Sen, Ashish Vidyarthi, Salim Diwan, Karuna Pandey, Vineet Kumar Singh",,[53][54]
19,FEB,26,Love Shagun,Romance/comedy,Sandesh Nayak,"Anuj Sachdeva, Nidhi Subbaiah, Manit Joura",,[55][56]
20,FEB,26,Tere Bin Laden: Dead or Alive,Comedy,Abhishek Sharma,"Manish Paul, Sikander Kher, Pradhuman Singh, Sugandha Ram",,[57][58]
21,MAR,4,Zubaan,Drama,Mozez Singh,"Vicky Kaushal, Sarah Jane Dias, Raghav Chanana",,[59][60]
22,MAR,4,Jai Gangaajal,Drama/comedy,Prakash Jha,"Priyanka Chopra, Anuj Aggarwal, Prakash Jha, Rahul Bhatt",,[61][62]
23,MAR,11,Global Baba,Satire,Manoj Sidheshwari Tewari,"Abhimanyu Singh, Sandeepa Dhar, Ravi Kishan, Pankaj Tripathi, Sanjay Mishra, Akhilendra Mishra",,[63][64]
24,MAR,11,Teraa Surroor,Action/thriller/romance,Shawn Arranha,"Himesh Reshammiya, Farah Karimi, Monica Dogra, Naseeruddin Shah, Shekhar Kapur",,[65][66]
25,MAR,11,OK Mein Dhokhe,Drama/thriller,Utpal S. Chaudhary,"Zoya Rathore, Sapan Krishna, Vaidhei Singh, Megha Verma, Ravi Thakur, Milan Singh",,[67][68]
26,MAR,18,Kapoor & Sons,Drama/comedy,Shakun Batra,"Sidharth Malhotra, Alia Bhatt, Fawad Khan, Rishi Kapoor",,[69][70]
27,MAR,25,Rocky Handsome,Action,Nishikant Kamat,"John Abraham, Shruti Haasan, Nathalia Kaur",,[71][72]
28,APR,1,Ki & Ka,Romantic comedy,R. Balki,"Kareena Kapoor, Arjun Kapoor, Amitabh Bachchan, Jaya Bachchan",,[73][74]
29,APR,8,Love Games,Thriller,Vikram Bhatt,"Patralekha, Tara Alisha Berry, Gaurav Arora",,[75][76]
30,APR,8,The Blueberry Hunt,Thriller,Anup Kurien,"Naseeruddin Shah, Vipin Sharma, Vinay Forrt",,[77][78]
31,APR,10,Kaafiron Ki Namaaz,Drama,Ram Ramesh Sharma,"Alok Chaturvedi, Joydip Mukhopadhyay, Megh Pant, Priya Raina, Chandrahas Tiwari",,[79]
32,APR,15,Fan,Action/drama/thriller,Maneesh Sharma,"Shah Rukh Khan, Waluscha de Sousa, Sayani Gupta, Shriya Pilgaonkar",,[80][81]
33,APR,22,Nil Battey Sannata,Comedy/drama,Ashwini Iyer Tiwari,"Swara Bhaskar, Ratna Pathak, Pankaj Tripathi, Sanjay Suri",,[82][83]
34,APR,22,Laal Rang,Action,Syed Ahmad Afzal,"Randeep Hooda, Akshay Oberoi, Rajneesh Duggal, Piaa Bajpai",,[84][85]
35,APR,22,Santa Banta Pvt Ltd,Comedy,Akashdeep Sabir,"Vir Das, Boman Irani, Ram Kapoor, Neha Dhupia, Lisa Haydon",,[86]
36,APR,29,Baaghi,Action,Sabbir Khan,"Tiger Shroff, Shraddha Kapoor, Sudheer Babu, Sunil Grover",,[87][88]
37,APR,29,Shortcut Safari,"Adventure, drama",Amitabha Singh,"Jimmy Shergill, Aashi Rawal, Sharvil Patel, Mann Patel, Ugam Khetani, Stuti Dwivedi, Deah Tandon, Hardil Kanaba",,[89][90]
38,MAY,6,One Night Stand,Thriller,Jasmine Moses D'Souza,"Sunny Leone, Tanuj Virwani, Nyra Banerjee",,[91][92][93]
39,MAY,6,Traffic,Thriller,Rajesh Pillai,"Manoj Bajpayee, Jimmy Sheirgill, Divya Dutta, Kitu Gidwani, Prosenjit Chatterjee, Sachin Khedekar, Nikita Thukral, Vishal Singh, Parambrata Chatterjee",,[94][95][96]
40,MAY,6,1920: London,Horror,Tinu Suresh Desai,"Sharman Joshi, Meera Chopra, Vishal Karwal",,[97][98]
41,MAY,6,Murari the Mad Gentleman,Comedy,,,,
42,MAY,13,Azhar,Biopic,Tony D'Souza,"Emraan Hashmi, Nargis Fakhri, Prachi Desai, Gautam Gulati, Kunaal Roy Kapur, Lara Dutta, Karanvir Sharma",,[99][100]
43,MAY,13,Buddha in a Traffic Jam,Political drama,Vivek Agnihotri,"Arunoday Singh, Mahie Gill, Anchal Dwivedi, Pallavi Joshi, Anupam Kher",,[101][102]
44,MAY,13,Khel Toh Ab Shuru Hoga,Comedy,Kunal V Singh,"Ruslaan Mumtaz, Devshi Khanduri",,[103]
45,MAY,16,Dear Dad,Drama,Tanuj Bhramar,"Arvind Swamy, Himanshu Sharma, Ekavali Khanna",,[104][105]
46,MAY,20,Kaptaan,Comedy,Mandeep Kumar,"Gippy Grewal, Karishma Kotak, Rishaan Dutta",,[106][107]
47,MAY,20,Sarbjit,Biopic,Omung Kumar,"Aishwarya Rai, Randeep Hooda, Richa Chadha",,[108][109]
48,MAY,27,Phobia,Thriller/horror,Pawan Kripalani,"Radhika Apte, Satyadeep Misra",,[110][111]
49,MAY,27,Veerappan,Action/biopic,Ram Gopal Varma,"Sandeep Bharadwaj, Lisa Ray, Sachiin Joshi, Usha Jadhav",Phantom Films,[112][113]
50,MAY,27,Fredrick,Action,Rajesh Butalia,"Prashant Narayanan, Avinash Dhyani",,[114][115]
51,JUN,3,Housefull 3,Comedy,Sajid-Farhad,"Akshay Kumar, Abhishek Bachchan, Riteish Deshmukh, Jacqueline Fernandez, Lisa Haydon, Nargis Fakhri, Nikitin Dheer, Jackie Shroff",,[116]
52,JUN,10,Do Lafzon Ki Kahani,Romantic,Deepak Tijori,"Randeep Hooda, Kajal Aggarwal",,[117][118]
53,JUN,10,Dhanak,Drama,Nagesh Kukunoor,"Hetal Gadda, Krrish Chabbria, Vipin Sharma, Vibha Chibber, Vijay Maurya",,[119][120]
54,JUN,10,Te3n,Thriller,Ribhu Dasgupta,"Amitabh Bachchan, Vidya Balan, Nawazuddin Siddiqui",,[121][122]
55,JUN,17,Udta Punjab,Crime,Abhishek Chaubey,"Shahid Kapoor, Alia Bhatt, Kareena Kapoor, Diljit Dosanjh",,[123][124]
56,JUN,17,Luv U Alia,Romance,Indrajit Lankesh,"Bhumika Chawla, V. Ravichandran, Sudeep, Chandan Kumar, Sangeeta Chauhan",,[125][126][127]
57,JUN,24,Raman Raghav 2.0,Crime/thriller,Anurag Kashyap,"Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dhulipala",,[128][129]
58,JUN,24,Junooniyat,Romance,Vivek Agnihotri,"Pulkit Samrat, Yami Gautam, Gulshan Devaiah, Hrishita Bhatt",,[130][131]
59,JUN,24,7 Hours To Go,Crime/thriller,Saurabh Varma,"Shiv Panditt, Sandeepa Dhar, Natasa Stankovic, Varun Badola",,[132][133]
60,JUN,24,A Scandall,Adult,Ishaan Shrivedi,"Manav Kaul, Tanvi Vyas",,[134][135]
61,JUN,24,Rough Book,Drama,Ananth Narayan Mahadevan,"Amaan Khan, Tannishtha Chatterjee",,[136][134]
62,JUL,1,Shorgul,Political drama,"Pranav Kumar Singh, Jitendra Tiwari","Jimmy Sheirgill, Suha Gezen, Ashutosh Rana, Narendra Jha",,[137][138]
63,JUL,1,Dil Toh Deewana Hai,Comedy/romance,Raja Bundela,"Haider Khan, Sadha, Raj Babbar, Zeenat Aman, Sushmita Mukherjee, Alok Nath, Hemant Pandey",,[139]
64,JUL,6,Sultan,Sports/drama,Ali Abbas Zafar,"Salman Khan, Randeep Hooda",,[140]
65,JUL,6,Brahman Naman,Comedy,Qaushiq Mukherjee,"Shashank Arora, Sid Mallya, Denzil Smith, Biswa Kalyan Rath, Tanmay Dhananiya, Vaishwath Shankar",,[141]
66,JUL,15,Great Grand Masti,Sex comedy/horror,Indra Kumar,"Vivek Oberoi, Riteish Deshmukh, Aftab Shivdasani, Urvashi Rautela, Shraddha Das, Mishti, Pooja Bose, Sonali Raut, Shreyas Talpade",,[142][143]
67,JUL,22,Madaari,Drama,Nishikant Kamat,"Irrfan Khan, Jimmy Sheirgill",,[144][145]
68,JUL,22,Ishq Click,Romance/drama,Anil Ballani,"Adhyayan Suman, Sara Loren",,
69,JUL,22,M Cream,Road movie,Agneya Singh,"Imaad Shah, Ira Dubey, Raaghav Chanana",,
70,JUL,29,Dishoom,Action,Rohit Dhawan,"John Abraham, Varun Dhawan, Jacqueline Fernandez, Saqib Saleem, Ram Kapoor, Akshaye Khanna",,[146]
71,JUL,29,Love Ke Funday,Comedy,Indervesh Yogee,"Shaleen Bhanot, Pooja Banerjee",,
72,AUG,5,The Legend of Michael Mishra,Romance/drama,Manish Jha,"Arshad Warsi, Aditi Rao Hydari, Boman Irani, Kayoze Irani",,[140]
73,AUG,5,Fever,Thriller,Rajeev Jhaveri,"Rajeev Khandelwal, Gauahar Khan, Gemma Atkinson, Victor Banerjee, Caterina Murino, Ankita Makwana",,[147]
74,AUG,5,Hai Apna Dil Toh Awara,Comedy/Romance,Monjoy Mukerji,Sahil Anand,,[148]
75,AUG,12,Mohenjo Daro,Period drama,Ashutosh Gowariker,"Hrithik Roshan, Pooja Hegde, Kabir Bedi, Arunoday Singh, Sharad Kelkar",,[149]
76,AUG,12,Rustom,Romance/thriller,Tinu Suresh Desai,"Akshay Kumar, Ileana D'Cruz, Esha Gupta, Arjan Bajwa",,[150]
77,AUG,19,Happy Bhag Jayegi,Comedy,Mudassar Aziz,"Abhay Deol, Diana Penty, Momal Sheikh, Ali Fazal, Jimmy Sheirgill",,[151]
78,AUG,25,Waarrior Savitri,Action,Param Gill,"Niharica Raizada, Lucy Pinder, Rajat Barmecha",,[152]
79,AUG,25,A Flying Jatt,Superhero/Action/comedy,Remo D'Souza,"Tiger Shroff, Jacqueline Fernandez, Nathan Jones, Kay Kay Menon, Amrita Singh",,[153]
80,SEP,2,Akira,Action/drama,A.R. Murugadoss,"Sonakshi Sinha, Konkona Sen Sharma, Raai Laxmi, Amit Sadh, Anurag Kashyap, Atul Kulkarni",,[154]
81,SEP,2,Yea Toh Two Much Ho Gayaa,Action/drama,Anwer Khan,"Arbaaz Khan, Jimmy Sheirgill, Pooja Chopra, Bruna Abdullah, Devansh Sharma",,[155]
82,SEP,2,Island City,Drama,Ruchika Oberoi,"Tannishtha Chatterjee, Ashwin Mushran, Vinay Pathak, Amruta Subhash",,[156]
83,SEP,9,Baar Baar Dekho,Drama/Romance,Nitya Mehra,"Katrina Kaif, Sidharth Malhotra, Ram Kapoor, Taaha Shah, Sarika, Sayani Gupta",,[157]
84,SEP,9,Freaky Ali,Comedy/sports,Sohail Khan,"Nawazuddin Siddiqui, Arbaaz Khan, Amy Jackson, Jas Arora, Seema Biswas, Nikitin Dheer, Asif Basra, Paresh Ganatra, Alam Khan",,
85,SEP,9,Ek Kahani Julie Ki,Thriller,Aziz Zee,Rakhi Sawant,,
86,SEP,16,Raaz: Reboot,Horror,Vikram Bhatt,"Emraan Hashmi, Kriti Kharbanda, Gaurav Arora, Suzanna Mukherjee",,[158]
87,SEP,16,Pink,Drama,Aniruddha Roy Chowdhury,"Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari, Andrea Tariang, Angad Bedi",,[159]
88,SEP,23,Parched,Drama,Leena Yadav,"Tannishtha Chatterjee, Radhika Apte, Surveen Chawla, Sayani Gupta",,[160]
89,SEP,23,Banjo,Comedy/drama,Ravi Jadhav,"Riteish Deshmukh, Nargis Fakhri, Dharmesh Yelande",,[161]
90,SEP,23,Days of Tafree,Comedy,Krishnadev Yagnik,"Yash Soni, Nimisha Mehta",,
91,SEP,23,Wah Taj,Satirical,Ajit Sinha,"Shreyas Talpade, Manjari Phadnis, Hemant Pandey, Rajesh Sharma, Rajeev Verma",,
92,SEP,30,M.S. Dhoni: The Untold Story,Biopic/sports,Neeraj Pandey,"Sushant Singh Rajput, Anupam Kher, Herry Tangri, Kiara Advani, Disha Patani, Bhumika Chawla",,[162]
93,OCT,7,Mirzya,Drama/romance,Rakeysh Omprakash Mehra,"Harshvardhan Kapoor, Saiyami Kher, Om Puri, Art Malik, K.K. Raina",,[163]
94,OCT,7,MSG: The Warrior Lion Heart,Adventure,"Gurmeet Ram Rahim Singh, Honeypreet Insan","Gurmeet Ram Rahim Singh, Honeypreet Insan, Charapreet Insan, Kainaat Insan, Garima Insan, Rajesh Insan, Sukhottam Insan, Ashok Insan, Bhushan Insan",,[164]
95,OCT,7,Tutak Tutak Tutiya,Supernatural comedy,A. L. Vijay,"Prabhu Deva, Tamannaah, Sonu Sood",,
96,OCT,14,Anna,Biographical,Shashank Udapurkar,"Shashank Udapurkar, Tanishaa Mukerji, Govind Namdeo, Rajit Kapur, Sharat Saxena, Kishor Kadam",,[165]
97,OCT,14,Motu Patlu: King of Kings,Animation/comedy/adventure,Suhas D. Kadavand,"Saurav Chakraborty, Omi Sharma",,[166]
98,OCT,14,Beiimaan Love,Thriller,Rajeev Chaudhary,"Sunny Leone, Rajneesh Duggal, Daniel Weber",,[167]
99,OCT,14,Saat Uchakkey,Comedy,Sanjeev Sharma,"Manoj Bajpayee, Anupam Kher, Kay Kay Menon, Annu Kapoor, Vijay Raaz, Aditi Sharma",,
100,OCT,14,Fuddu,Drama,Sunil Subramani,"Swati Kapoor, Monali A, Pawan Kumar Sharma, Anurag Basu",,
