,Opening,Opening.1,Title,Director,Cast,Genre,Studio,Ref.
0,JAN,13.0,Haraamkhor,Shlok Sharma,"Nawazuddin Siddiqui, Shweta Tripathi","Comedy, Crime",Sikhya EntertainmentKhusro Films,[17][18]
1,JAN,13.0,Ok Jaanu,Shaad Ali,"Aditya Roy Kapur, Shraddha Kapoor","Romance, Drama","Madras Talkies, Dharma Productions",[19][20]
2,JAN,20.0,Coffee with D,Vishal Mishra,"Sunil Grover, Zakir Hussain","Comedy, Crime",Apex Entertainment,[21]
3,JAN,25.0,Kaabil,Sanjay Gupta,"Hrithik Roshan, Yami Gautam","Action, Thriller",Filmkraft Productions Pvt. Ltd,[22][23]
4,JAN,25.0,Raees,Rahul Dholakia,"Shah Rukh Khan, Mahira Khan, Nawazuddin Siddiqui","Crime, Action","Red Chillies Entertainment, Excel Entertainment",[24][25]
5,FEB,10.0,Hind Ka Napak Ko Jawab: MSG Lion Heart 2,"Gurmeet Ram Rahim Singh, Honeypreet Insan","Gurmeet Ram Rahim Singh, Honeypreet Insan","Action, Drama",Hakikat Entertainment Pvt. Ltd.,[26]
6,FEB,10.0,Jolly LLB 2,Subhash Kapoor,"Akshay Kumar, Huma Qureshi, Saurabh Shukla",Drama,Fox Star Studios,[27][28]
7,FEB,10.0,"U, Me Aur Ghar",Abhay Chhabra,Omkar KapoorSimran Kaur Mundi,Romance/Drama,Web Talkies,[29]
8,FEB,17.0,Running Shaadi,Amit Roy,"Taapsee Pannu, Amit Sadh",Comedy,Rising Sun Films,[30][31]
9,FEB,17.0,The Ghazi Attack,Sankalp Reddy,"Rana Daggubati, Taapsee Pannu, Kay Kay Menon, Atul Kulkarni",Action,"PVP Cinema, Matinee Entertainment",[32][33]
10,FEB,17.0,Irada,Aparnaa Singh,"Naseeruddin Shah, Arshad Warsi, Sharad Kelkar, Divya Dutta","Thriller, Drama",Irada Entertainment,[34]
11,FEB,17.0,Chauhar,Raghubeer Singh,"Amit Singh Kashyap, Richa Dixit, Vivek Jha",Romance,Dinkar's Film Productions,[35]
12,FEB,24.0,Rangoon,Vishal Bhardwaj,"Kangana Ranaut, Shahid Kapoor, Saif Ali Khan","War, Drama","Nadiadwala Grandson Entertainment, VB Pictures, Viacom 18 Motion Pictures",[36][37]
13,FEB,24.0,Wedding Anniversary,Shekhar S Jha,"Nana Patekar, Mahie Gill, Priyanshu Chatterjee, Shruti Marathe","Romance, Thriller",V K Productions,[38][39]
14,FEB,24.0,Mona Darling,Shashi Sudigala,"Anshuman Jha, Divya Menon, Suzanna Mukherjee, Sanjay Suri",Thriller,First Ray Films,[40]
15,MAR,3.0,Commando 2,Deven Bhojani,"Vidyut Jammwal, Adah Sharma, Esha Gupta",Action,"Sunshine Pictures, Pen India Limited",[41][42]
16,MAR,3.0,Jeena Isi Ka Naam Hai,Keshhav Panneriy,"Arbaaz Khan, Ashutosh Rana, Himansh Kohli","Romance, Drama",Bibia Films Pvt. Ltd.,[43][44]
17,MAR,10.0,Badrinath Ki Dulhania,Shashank Khaitan,"Varun Dhawan, Alia Bhatt","Romance, Comedy",Dharma Productions,[45][46]
18,MAR,17.0,Aa Gaya Hero,Dipankar Senapati,"Govinda, Ashutosh Rana, Murali Sharma","Action, Comedy",Mangal Tara T.V & Films,[47]
19,MAR,17.0,Trapped,Vikramaditya Motwane,"Rajkummar Rao, Geetanjali Thapa, Khushboo Upadhyay","Drama, Thriller",Phantom Films,[48]
20,MAR,17.0,Mantra,Nicholas Kharkongor,"Rajat Kapoor, Lushin Dubey, Kalki Koechlin, Shiv Panditt, Adil Hussain","Drama, Family","Nikhil Chaudhary, Filmart Productions, North East Films, Shri Production, Zenyth Media House",[49]
21,MAR,17.0,Machine,Abbas-Mustan,"Mustafa Burmawalla, Kiara Advani","Romance, Thriller","Pen India Limited, Abbas-Mustan Productions",[50]
22,MAR,24.0,Phillauri,Anshai Lal,"Anushka Sharma, Diljit Dosanjh, Suraj Sharma, Mehreen Pirzada","Romance, Comedy","Fox Star Studios, Clean Slate Films",[51][52]
23,MAR,24.0,Bhanwarey,Shaurya Singh,"Shaurya Singh, Karan Thakur, Jashan Singh & Priyanka Shukla",Comedy,Sudha creations,[53][54]
24,MAR,24.0,Anaarkali of Aarah,Avinash Das,Swara Bhaskar,Drama,Promodome Motion Pictures,[55]
25,MAR,31.0,Naam Shabana,Shivam Nair,"Taapsee Pannu, Prithviraj Sukumaran & Akshay Kumar",Action/thriller,Plan C Studios & Cape Of Good Films,[56][57][58]
26,MAR,31.0,Poorna: Courage Has No Limit,Rahul Bose,"Aditi Inamdar, Rahul Bose & Heeba Shah",Adventure,PVR Pictures & Rahul Bose Productions,[59]
27,APR,7.0,Laali Ki Shaadi Mein Laaddoo Deewana,Manish Harishankar,"Vivaan Shah, Akshara Haasan, Gurmeet Choudhary & Kavita Verma",Romance/drama,Star Entertainment Worldwide,[60]
28,APR,7.0,Mirza Juuliet,Rajesh Ram Singh,"Darshan Kumar, Pia Bajpai & Chandan Roy Sanyal",Romance/action,"Green Apple Media, Falansha Media Private Limited & Shemaroo Entertainment",[61]
29,APR,7.0,Mukti Bhawan,Shubhashish Bhutiani,"Adil Hussain, Lalit Behl & Navnindra Behl",Drama,Red Carpet Moving Pictures,[62]
30,APR,14.0,Saanjh,Ajay Saklani,"Aditi Charak, Vishal Parpagga & Rupeshwari Sharma",Drama,Silent Hills Studio,[63][64]
