,Opening,Opening.1,Title,Director,Cast,Production house,Ref.
0,JAN,12,1921,Vikram Bhatt,Zareen KhanKaran KundraTobby HinstonSonia Armstrong,ASA Productions and Enterprises,[16][17]
1,JAN,12,Kaalakaandi,Akshat Verma,Saif Ali KhanIsha TalwarShenaz TreasuryAkshay OberoiVijay RaazDeepak DobriyalSobhita DhulipalaKunaal Roy KapurNary Singh,Cinestan Film Company,[18][19]
2,JAN,12,Mukkabaaz,Anurag Kashyap,Vineet Kumar SinghZoya HussainRavi KishanJimmy Sheirgill,"Eros International, Colour Yellow Productions",[20][21]
3,JAN,15,Phir Se...,Kunal Kohli,Jennifer WingetKunal KohliRajit Kapur,"Bombay Film Company Ltd, Netflix",[22][23][24]
4,JAN,19,My Birthday Song,Samir Soni,Sanjay SuriNora FatehiPitobash,Kahwa entertainment,[25][26]
5,JAN,19,Vodka Diaries,Kushal Srivastava,Kay Kay MenonMandira BediRaima SenSharib Hashmi,K'Scope Entertainment Pvt Ltd & Vishalraj Films & Production Pvt Ltd,[27]
6,JAN,19,Nirdosh,Pradeep Rangwani,Arbaaz KhanManjari FadnisAshmit PatelMukul DevMahek Chahal,UV Films,[28][29]
7,JAN,19,Union Leader,Sanjay Patel,Rahul BhatTillotama Shome,Dim Light Pictures,[30][31]
8,JAN,25,Padmaavat,Sanjay Leela Bhansali,Shahid KapoorDeepika PadukoneRanveer SinghAditi Rao Hydari,"Viacom 18 Motion Pictures, Bhansali Productions",[32][33]
9,FEB,9,Pad Man,R. Balki,Akshay KumarSonam KapoorRadhika Apte,"Columbia Pictures KriArj Entertainment, Hope Productions, Cape Of Good Films, Mrs Funnybones Movies, SPE Films India",[34][35]
10,FEB,14,Love per Square Foot,Anand Tiwari,Vicky KaushalAngira DharAlankrita SahaiRaghubir Yadav,"RSVP Films, Netflix",[36][37]
11,FEB,16,Aiyaary,Neeraj Pandey,Sidharth MalhotraManoj BajpayeeRakul Preet SinghPooja ChopraAnupam KherNaseeruddin Shah,Reliance Entertainment,[38][39]
12,FEB,16,Kuchh Bheege Alfaaz,Onir,Zain Khan DurraniGeetanjali Thapa,Yoodlee Films,[40][41]
13,FEB,16,Jaane Kyun De Yaaron,Akshay Anand,Raghu RajaAbhishek SharmaKabir BediChetna PandeViju Khote,"NeelRishiFilms, Theatre King",[42]
14,FEB,23,Sonu Ke Titu Ki Sweety,Luv Ranjan,Kartik AaryanNushrat BharuchaSunny Nijar,"T-Series, Luv Films",[43][44]
15,MAR,2,Pari,Prosit Roy,Anushka SharmaParambrata ChatterjeeRajat KapoorRitabhari ChakrabortyMansi Multani,"Clean Slate Films, KriArj Entertainment",[45][46]
