,Rank,Title,Production Company,Distributor,Worldwide Gross,Ref.,Opening,Opening.1,Director,Cast,Studio (production house)
0,1.0,War,Yash Raj Films,Yash Raj Films,₹475.50 crore (US$67 million),[2][3],,,,,
1,2.0,Saaho,UV CreationsT-Series,AA Films,₹433 crore (US$61 million)#+,[4],,,,,
2,3.0,Kabir Singh,T-SeriesCine1 Studios,AA Films,₹379.02 crore (US$53 million),[5][3],,,,,
3,4.0,Uri: The Surgical Strike,RSVP Movies,RSVP Movies,₹342.06 crore (US$48 million),[6][3],,,,,
4,5.0,Bharat,Reel Life ProductionsSalman Khan FilmsT-Series,AA Films,₹325.58 crore (US$46 million),[7][3],,,,,
5,6.0,Good Newwz,Zee StudiosDharma ProductionsCape of Good Films,Zee Studios,₹318.57 crore (US$45 million),[8][3],,,,,
6,7.0,Mission Mangal,Cape of Good FilmsHope ProductionsFox Star Studios,Fox Star Studios,₹290.59 crore (US$41 million),[9][3],,,,,
7,8.0,Housefull 4,Nadiadwala Grandson EntertainmentFox Star Studios,Fox Star Studios,₹280.27 crore (US$39 million),[10][3],,,,,
8,9.0,Gully Boy,Excel EntertainmentTiger Baby Productions,AA Films,₹238.16 crore (US$33 million),[11][3],,,,,
9,10.0,Dabangg 3,Salman Khan FilmsArbaaz Khan ProductionsSaffron Broadcast & Media Limited,Salman Khan Films,₹230.93 crore (US$32 million),[12][3],,,,,
10,,Salt Bridge,,,,[13],JAN,4.0,Abhijit Deonath,Rajeev KhandelwalChelsie Preston CrayfordUsha Jadhav,
11,,Cabaret,,,,[14],JAN,9.0,Kaustav Narayan Niyogi,Richa ChaddaGulshan DevaiahS. Sreesanth,"Fisheye Network Private Limited, T-Series"
12,,Uri: The Surgical Strike,,,,[15][16],JAN,11.0,Aditya Dhar,Vicky KaushalMohit RainaParesh RawalYami Gautam,RSVP Movies
13,,Battalion 609,,,,[17][18][19],JAN,11.0,Brijesh Batuknath Tripathi,Shoaib IbrahimElena KazanFarnaz ShettyVishwas KiniVicky AhujaVikas SrivastavaChandraprakash Thakur,N.J Lalwani Films
14,,The Accidental Prime Minister,,,,[20][21],JAN,11.0,Vijay Ratnakar Gutte,Anupam KherAkshaye KhannaSuzanne BernertAahana KumraArjun Mathur,Bohra Bros Production
15,,Evening Shadows,,,,[22][23],JAN,11.0,Sridhar Rangayan,Mona AmbegaonkarAnanth Narayan MahadevanDevansh DoshiArpit Chaudhary,Solaris Pictures
16,,Why Cheat India,,,,[24][25],JAN,18.0,Soumik Sen,Emraan HashmiShreya Dhanwanthary,"T-Series, Emraan Hashmi Films"
17,,SP Chauhan,,,,[26],JAN,18.0,Manoj K Jha,Jimmy ShergillYuvika ChaudharyYashpal Sharma,"Navchetna Productions,T-Series"
18,,Fraud Saiyaan,,,,[27][28],JAN,18.0,Sourabh Shrivastava,Arshad WarsiSara LorenSaurabh Shukla,Tips
19,,Soni,,,,[29],JAN,18.0,Ivan Ayr,Geetika Vidhya OlyanSaloni Batra,Netflix
20,,72 Hours: Martyr Who Never Died,,,,[30][31],JAN,18.0,Avinash Dhyani,Avinash DhyaniMukesh TiwariVirendra SaxenaAlka Amin Shishir SharmaGireesh SahdevPrashil Rawat,JSR Production House
21,,Bombairiya,,,,[32][33],JAN,18.0,Pia Sukanya,Radhika ApteSiddhanth KapoorAkshay OberoiShilpa ShuklaAdil HussainAmit SialRavi Kishan,"Beautiful Bay Entertainment Presentation, Netflix"
22,,Rangeela Raja,,,,[34][35],JAN,18.0,Sikander Bharti,GovindaShakti KapoorPrem ChopraGovind NamdevShyamlal YadavMishika ChourasiaAnupama AgnihotriDigangana SuryavanshiKarishma HarshadaArti Gupta,Chitradeep International
23,,Thackeray,,,,[36][37][38],JAN,25.0,Abhijit Panse,Nawazuddin SiddiquiAmrita Rao,"Raut'ers Entertainment, Viacom18 Motion Pictures"
24,,Manikarnika: The Queen of Jhansi,,,,[39][40],JAN,25.0,Radha Krishna JagarlamudiKangana Ranaut,Kangana RanautJisshu SenguptaSuresh OberoiAnkita LokhandeDanny DenzongappaAtul KulkarniMohammed Zeeshan Ayyub,"Kairos Kontent Studios, Zee Studios"
25,,Ek Ladki Ko Dekha Toh Aisa Laga,,,,[41][42],FEB,1.0,Shelly Chopra Dhar,Anil KapoorSonam KapoorJuhi ChawlaRajkummar Rao,"Vinod Chopra Films, Fox Star Studios"
26,,The Fakir of Venice,,,,[43][44],FEB,8.0,Anand Surapur,Farhan AkhtarAnnu Kapoor,"October Films, Phat Phish Motion Pictures"
27,,Dosti Ke Side Effects,,,,[45],FEB,8.0,Hadi Ali Abrar,Sapna ChoudhryVikrant AnandNeel MotwaniZuber K. KhanAnju Jadhav,Share Happiness Films
28,,Amavas,,,,[46][47],FEB,8.0,Bhushan Patel,Sachiin JoshiVivan BhatenaNargis Fakhri,Weeping Grave
29,,Gully Boy,,,,[48][49],FEB,14.0,Zoya Akhtar,Ranveer SinghAlia Bhatt,"Tiger Baby, Excel Entertainment"
30,,Hum Chaar,,,,[50][51],FEB,15.0,Abhishek Dixit,Prit KamaniSimran SharmaAnshuman MalhotraTushar Pandey,Rajshri Productions
31,,Total Dhamaal,,,,[52][53],FEB,22.0,Indra Kumar,Ajay DevgnMadhuri DixitArshad WarsiJaved JaffreyAnil KapoorRiteish DeshmukhSanjay Mishra,Fox Star Studios
32,,Goopi Gawaiya Bagha Bajaiya,,,,[54],MAR,1.0,Shilpa Ranade,Manish BhawanRajeev RajShailendra Pande,"Paperboat Animation Studios, Children's Film Society, Karadi Tales"
33,,Luka Chuppi,,,,[55][56],MAR,1.0,Laxman Utekar,Kartik AaryanKriti SanonAparshakti KhuranaPankaj TripathiVinay Pathak,Maddock Films
34,,Sonchiriya,,,,[57][58],MAR,1.0,Abhishek Chaubey,Sushant Singh RajputBhumi PednekarManoj BajpayeeRanvir ShoreyAshutosh Rana,RSVP Movies
35,,Badla,,,,[59],MAR,8.0,Sujoy Ghosh,Amitabh BachchanTaapsee Pannu,"Red Chillies Entertainment, Azure Entertainment"
36,,The Sholay Girl,,,,[60],MAR,8.0,Aditya Sarpotdar,Bidita BagChandan Roy Sanyal,"Purple Morning Pictures, ZEE5"
37,,Hamid,,,,[61],MAR,15.0,Aijaz Khan,Talha Arshad ReshiRasika DugalVikas KumarSumit Kaul,Yooldee Films
38,,Photograph,,,,[62],MAR,15.0,Ritesh Batra,Nawazuddin SiddiquiSanya Malhotra,"AA Films, Amazon Studios"
39,,Milan Talkies,,,,[63],MAR,15.0,Tigmanshu Dhulia,Ali FazalShraddha SrinathReecha SinhaAshutosh RanaSanjay MishraSikandar Kher,Filmy Keeda Productions Pvt Ltd
40,,Risknamaa,,,,[64],MAR,15.0,Aarun Nagar,Sachin KhariAarun NagarShahbaz KhanPramod MouthoRavi Verma,"Kirti Motion Pictures, CSK Production"
41,,Mere Pyare Prime Minister,,,,[65],MAR,15.0,Rakeysh Omprakash Mehra,Anjali PatilMakarand DeshpandeRasika AagasheSonia AlbizuriSyna AnandAdarsh BhartiOm Kanojiya,"ROMP Pictures, Pen India Limited"
42,,22 Yards,,,,[66],MAR,15.0,Mitali Ghoshal,Barun SobtiAmartya RayPanchi BoraRajit KapurRajesh SharmaChaiti GhoshalGeetika Tyagi,MS Productions
43,,377 Ab Normal,,,,[67],MAR,19.0,Faruk Kabir,Shashank AroraMohammed Zeeshan AyyubTanvi AzmiMaanvi Gagroo,"Spiders Web Productions, ZEE5"
44,,Kesari,,,,[68][69][70],MAR,21.0,Anurag Singh,Akshay KumarParineeti ChopraMir SarwarAshwath Bhatt,Dharma Productions
45,,Mard Ko Dard Nahi Hota,,,,[71],MAR,21.0,Vasan Bala,Abhimanyu DassaniRadhika MadanGulshan DevaiahMahesh ManjrekarJimit TrivediShweta Basu Prasad,RSVP Movies
46,,Ram Ki Janmabhoomi,,,,[72],MAR,29.0,Sanoj Mishra,Govind NamdeoManoj JoshiNajneen PatniRajveer Singh,Cine craft productions
47,,Notebook,,,,[73],MAR,29.0,Nitin Kakkar,Zaheer IqbalPranutan Bahl,"Salman Khan Films, Cine1 Studios"
48,,Junglee,,,,[74][75],MAR,29.0,Chuck Russell,Vidyut JammwalPooja SawantAsha BhatAtul Kulkarni,Junglee Pictures
49,,Gone Kesh,,,,[76],MAR,29.0,Qasim Khallow,Shweta TripathiJitendra KumarVipin SharmaDeepika AminBrijendra Kala,Eros International
50,,Romeo Akbar Walter,,,,[77][78],APR,5.0,Robbie Garewal,John AbrahamMouni RoyJackie ShroffSikander KherSuchitra Krishnamoorthi,"VA Film Company, Kayta Production, Viacom18 Motion Pictures"
51,,Jai Chhathi Maa,,,,[79],APR,5.0,Murari Sinha,"Ravi Kishan, Gurleen Chopra, Preeti Jhangiani",Shining Screens
52,,Albert Pinto Ko Gussa Kyun Aata Hai?,,,,[80],APR,12.0,Soumitra Ranade,Manav KaulNandita DasSaurabh ShuklaKishor Kadam,"Soumitra Ranade Productions, Templetree Motion Pictures, No Guts No Glory Films, Parashuram Productions, Paperboat Studios Pvt. Ltd."
53,,The Tashkent Files,,,,[81],APR,12.0,Vivek Agnihotri,Mithun ChakrabortyNaseeruddin ShahShweta Basu PrasadPankaj TripathiVinay PathakMandira BediPallavi JoshiAnkur RatheePrakash Belawadi,SP CineCorp
54,,Kalank,,,,[82][83][84][85],APR,17.0,Abhishek Varman,Madhuri DixitSonakshi SinhaAlia BhattVarun DhawanAditya Roy KapurSanjay Dutt,"Dharma Productions, Fox Star Studios, Nadiadwala Grandson Entertainment"
55,,Blank,,,,[86],MAY,3.0,Behzad Khambata,Sunny DeolKaran KapadiaIshita Dutta,Echelon Productions
56,,Setters,,,,[87],MAY,3.0,Ashwini Chaudhary,Aftab ShivdasaniShreyas TalpadeSonnalli SeygallIshita DuttaPavan MalhotraVijay RaazJameel KhanManu Rishi,"Lovely Films Production House (P) Ltd., NH Studioz"
57,,Badnaam Gali,,,,[88],MAY,10.0,Ashwin Shetty,Patralekha PaulDivyendu Sharma,"Finnca Films, ZEE5"
58,,Chhota Bheem Kung Fu Dhamaka[a],,,,[89],MAY,10.0,Rajiv Chilaka,Parigna Pandya ShahJulie TejwaniPinky RajputRajesh Kava,Green Gold Animations
59,,Student of the Year 2,,,,[90][91],MAY,10.0,Punit Malhotra,Tiger ShroffTara SutariaAnanya Panday,"Dharma Productions, Fox Star Studios"
60,,De De Pyaar De,,,,[92][93],MAY,17.0,Akiv Ali,Ajay DevgnTabuRakul Preet SinghJaved JaffreyJimmy Sheirgill,T-Series
61,,India's Most Wanted,,,,[94][95],MAY,24.0,Rajkumar Gupta,Arjun KapoorSudev NairRajesh SharmaPrashanth AlexanderShantilal Mukherjee,"Fox Star Studios, Raapchik Films"
62,,PM Narendra Modi,,,,[96],MAY,24.0,Omung Kumar,Vivek OberoiBoman IraniManoj JoshiBarkha SenguptaAanjjan SrivastavZarina WahabSuresh Oberoi,"Legend Global Studio, Anand Pandit Motion Pictures, Panorama Studios"
63,,Yeh Hai India,,,,[97],MAY,24.0,Lomharsh,Gavie ChahalMohan AghasheMohan Joshi,DLB FIlms
64,,Bharat,,,,[98][99],JUN,5.0,Ali Abbas Zafar,Salman KhanTabuKatrina KaifSunil GroverDisha PataniAasif Sheikh,"T-Series, Reel Life Productions"
65,,Khamoshi,,,,[100],JUN,14.0,Chakri Toleti,Prabhu DevaTamannaahBhumika Chawla,Pooja Entertainment
66,,Kissebaaz,,,,[101],JUN,14.0,Annant Jaaitpaal,Pankaj TripathiAnupriya GoenkaEvelyn SharmaRahul BaggaMouli GangulyZakir HussainRajesh Sharma,"Experion Moviez, PVR Pictures"
